numberID,Host_p1,Tumers_p1,nH_p1,nT_p1,Host_p2,Tumers_p2,nH_p2,nT_p2,nH,nT,Town,Region,Country,Month_collected,Year_collected
1542,1542H-Dog_p1,1542T-Dog_p1,1,1,1542H-Dog_p2,1542T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,November,2015
1543,1543H-Dog_p1,1543T-Dog_p1,1,1,1543H-Dog_p2,1543T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,November,2015
1544,1544H-Dog_p1,1544T-Dog_p1,1,1,1544H-Dog_p2,1544T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,December,2015
1545,1545H-Dog_p1,1545T-Dog_p1,1,1,1545H-Dog_p2,1545T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,December,2015
1546,1546H-Dog_p1,1546T-Dog_p1,1,1,1546H-Dog_p2,1546T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,December,2015
1547,,1547T-Dog_p1|1547T2-Dog_p1,0,2,,1547T-Dog_p2|1547T2-Dog_p2,0,2,0,4,Port Elizabeth,Zinoyka,South Africa,Oct 2015 to March 2016,"2015, 2016"
1548,1548H-Dog_p1,1548T-Dog_p1,1,1,1548H-Dog_p2,1548T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,December,2015
1549,1549H-Dog_p1,1549T-Dog_p1|1549T2-Dog_p1|1549T3-Dog_p1|1549T4-Dog_p1|1549T5-Dog_p1,1,5,1549H-Dog_p2,1549T-Dog_p2|1549T2-Dog_p2|1549T3-Dog_p2|1549T4-Dog_p2|1549T5-Dog_p2,1,5,2,10,Port Elizabeth,Zinoyka,South Africa,Jan-April,2016
1550,1550H-Dog_p1,1550T1-Dog_p1,1,1,1550H-Dog_p2,1550T1-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,January,2016
1551,1551H-Dog_p1,1551T-Dog_p1,1,1,1551H-Dog_p2,1551T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,January,2016
1552,1552H-Dog_p1,1552T-Dog_p1,1,1,1552H-Dog_p2,1552T-Dog_p2,1,1,2,2,Port Elizabeth,,South Africa,January,2016
1554,,1554T-Dog_p1,0,1,,1554T-Dog_p2,0,1,0,2,Kiev,,Ukraine,February,2016
1555,,1555T-Dog_p1,0,1,,1555T-Dog_p2,0,1,0,2,Kiev,,Ukraine,February,2016
1556,,1556T-Dog_p1,0,1,,1556T-Dog_p2,0,1,0,2,Kiev,,Ukraine,February,2016
1557,1557H-Dog_p1,1557T-Dog_p1,1,1,1557H-Dog_p2,1557T-Dog_p2,1,1,2,2,Kherson (Cherson),Southern Ukraine,Ukraine,February,2016
1558,,1558T-Dog_p1,0,1,,1558T-Dog_p2,0,1,0,2,Odessa,,Ukraine,March,2016
1559,1559H-Dog_p1,1559T1-Dog_p1,1,1,1559H-Dog_p2,1559T1-Dog_p2,1,1,2,2,"Dickson Cove, Roatan ",,Honduras,March,2014
1561,1561H-Dog_p1,1561T-Dog_p1,1,1,1561H-Dog_p2,1561T-Dog_p2,1,1,2,2,"Dickson Cove, Roatan ",,Honduras,March,2014
1562,1562A-Dog_p1,1562B-Dog_p1,1,1,1562A-Dog_p2,,1,0,2,1,Paramaribo,,Suriname,October,2015
1563,1563A-Dog_p1,1563B-Dog_p1,1,1,1563A-Dog_p2,,1,0,2,1,Paramaribo,,Suriname,October,2015
1564,1564A-Dog_p1,1564B-Dog_p1,1,1,1564A-Dog_p2,1564B-Dog_p2,1,1,2,2,Paramaribo,,Suriname,October,2015
1566,1566A-Dog_p1,1566B-Dog_p1,1,1,1566A-Dog_p2,1566B-Dog_p2,1,1,2,2,Paramaribo,,Suriname,October,2015
1568,1568A-Dog_p1,1568B-Dog_p1,1,1,1568A-Dog_p2,1568B-Dog_p2,1,1,2,2,Paramaribo,,Suriname,October,2015
1569,1569H-Dog_p1,1569T-Dog_p1,1,1,1569H-Dog_p2,1569T-Dog_p2,1,1,2,2,Yerevan,,Armenia,March,2016
1570,,1570T-Dog_p1,0,1,,1570T-Dog_p2,0,1,0,2,Yerevan,,Armenia,March,2016
1571,1571H-Dog_p1,1571T-Dog_p1,1,1,1571H-Dog_p2,1571T-Dog_p2,1,1,2,2,Port Elizabeth,Timothy Valley,South Africa,January,2016
1572,1572H-Dog_p1,1572T-Dog_p1,1,1,1572H-Dog_p2,1572T-Dog_p2,1,1,2,2,Port Elizabeth,Well's Estate,South Africa,February,2016
1573,1573H-Dog_p1,1573T1-Dog_p1|1573T2-Dog_p1,1,2,1573H-Dog_p2,1573T1-Dog_p2|1573T2-Dog_p2,1,2,2,4,Port Elizabeth,Kwazakhele,South Africa,February,2016
1574,1574H-Dog_p1,1574T-Dog_p1,1,1,1574H-Dog_p2,1574T-Dog_p2,1,1,2,2,Port Elizabeth,Veeplaas,South Africa,February,2016
1575,1575H-Dog_p1,1575T1-Dog_p1|1575T2-Dog_p1,1,2,1575H-Dog_p2,1575T1-Dog_p2|1575T2-Dog_p2,1,2,2,4,Port Elizabeth,Uitenhage,South Africa,February/March,2016
1576,1576H-Dog_p1,1576T-Dog_p1,1,1,1576H-Dog_p2,1576T-Dog_p2,1,1,2,2,Port Elizabeth,Zinoyka,South Africa,February,2016
1577,,1577T-Dog_p1,0,1,,1577T-Dog_p2,0,1,0,2,Port Elizabeth,Missionvale,South Africa,February,2016
1578,1578H-Dog_p1,1578T-Dog_p1,1,1,1578H-Dog_p2,1578T-Dog_p2,1,1,2,2,Port Elizabeth,Zwide,South Africa,February,2016
1579,1579H-Dog_p1,1579T-Dog_p1,1,1,1579H-Dog_p2,1579T-Dog_p2,1,1,2,2,Port Elizabeth,Kwazakhele,South Africa,February,2016
1580,1580H-Dog_p1,1580T1-Dog_p1,1,1,1580H-Dog_p2,1580T1-Dog_p2,1,1,2,2,Port Elizabeth,Missionvale,South Africa,March,2016
1581,1581H-Dog_p1,1581T1-Dog_p1,1,1,1581H-Dog_p2,1581T1-Dog_p2,1,1,2,2,Port Elizabeth,Zinoyka,South Africa,March,2016
1582,1582H-Dog_p1,1582T1-Dog_p1,1,1,1582H-Dog_p2,1582T1-Dog_p2,1,1,2,2,Port Elizabeth,Algoa Park,South Africa,March,2016
1583,1583H-Dog_p1,1583T1-Dog_p1,1,1,1583H-Dog_p2,1583T1-Dog_p2,1,1,2,2,Port Elizabeth,Bethelsdorp,South Africa,March,2016
1584,1584H-Dog_p1,1584T-Dog_p1,1,1,1584H-Dog_p2,1584T-Dog_p2,1,1,2,2,Port Elizabeth,New Brighton,South Africa,March,2016
1586,1586H-Dog_p1,1586T-Dog_p1,1,1,1586H-Dog_p2,1586T-Dog_p2,1,1,2,2,Port Elizabeth,Mission Road,South Africa,March,2016
1587,1587H-Dog_p1,1587T-Dog_p1,1,1,1587H-Dog_p2,1587T-Dog_p2,1,1,2,2,Port Elizabeth,Salsoneville,South Africa,March,2016
1588,1588H-Dog_p1,1588T-Dog_p1,1,1,1588H-Dog_p2,1588T-Dog_p2,1,1,2,2,Port Elizabeth, Willowdene (ext 21),South Africa,March,2016
1589,1589H-Dog_p1,1589T-Dog_p1,1,1,1589H-Dog_p2,1589T-Dog_p2,1,1,2,2,Port Elizabeth,Well's Estate,South Africa,March,2016
1590,1590H-Dog_p1,1590T-Dog_p1,1,1,1590H-Dog_p2,1590T-Dog_p2,1,1,2,2,Port Elizabeth,Well's Estate,South Africa,March,2016
